,Pontiffnumber,Pontificate,Portrait,Name: English· Latin,Personal name,Date and Place of birth,Age at start/end of papacy,Notes
0,215,22 September 1503 –18 October 1503(26 days),,Pius IIIPIVS Tertius,Francesco Todeschini Piccolomini,"29 May 1439 Siena, Republic of Siena",64 / 64,Italian. Nephew of Pius II. Founded the Piccolomini Library in the Siena Cathedral.
1,216,"31 October 1503 –21 February 1513(9 years, 113 days)",,Julius IIIVLIVS Secundus,"Giuliano della Rovere, O.F.M.","5 December 1443 Albisola, Republic of Genoa",59 / 69,"Italian. Nicknamed the 'Warrior Pope' or the 'Fearsome Pope'. Nephew of Sixtus IV; convened the Fifth Council of the Lateran (1512). Took control of all the Papal States for the first time. Became Pope in the context of the Italian Wars, a period in which the major powers of Europe fought for primacy in the Italian peninsula. Established the Vatican Museums and initiated the rebuilding of the St. Peter's Basilica. The same year he organized the famous Swiss Guard for his personal protection and commanded a successful campaign in Romagna against local lords. The interests of Julius II lay also in the New World as he ratified the Treaty of Tordesillas, establishing the first bishoprics in the Americas and beginning the catholicization of Latin America. In 1508, he commissioned the Raphael Rooms and Michelangelo's paintings in the Sistine Chapel. Julius II was described by Machiavelli in his works as the ideal prince. Pope Julius II allowed people seeking indulgences to donate money to the Church which would be used for the construction of Saint Peter's Basilica."
2,217,"9 March 1513 –1 December 1521(8 years, 267 days)",,Leo XLEO Decimus,Giovanni di Lorenzo de' Medici,"11 December 1475 Florence, Republic of Florence",37 / 45,"Italian. Son of Lorenzo the Magnificent. Closed the Fifth Council of the Lateran. Remembered for granting indulgences to those who donated to rebuild St. Peter's Basilica; excommunicated Martin Luther (1521). Extended the Spanish Inquisition into Portugal. Borrowed and spent money without circumspection and was a significant patron of the arts. Under his reign, progress was made on the rebuilding of St. Peter's Basilica and artists such as Raphael decorated the Vatican rooms. Leo also reorganised the Roman University, and promoted the study of literature, poetry and antiquities. The last pope to not have been in priestly orders at the time of his election to the papacy."
3,218,"9 January 1522 –14 September 1523(1 year, 248 days)",,Adrian VIHADRIANVS Sextus,Aryaen Floriszoon Boeyens,"2 March 1459 Utrecht, Bishopric of Utrecht, Holy Roman Empire (now Netherlands)",62 / 64,"Motto: Patere et sustine (""Respect and wait"")[25] The only Dutch pope; last non-Italian to be elected pope until John Paul II in 1978. Tutor of Emperor Charles V. Came to the papacy in the midst of one of its greatest crises, threatened not only by Lutheranism to the north but also by the advance of the Ottoman Turks to the east. He refused to compromise with Lutheranism theologically, demanding Luther's condemnation as a heretic. However, he is noted for having attempted to reform the Catholic Church administratively in response to the Protestant Reformation. Adrian's remarkable admission that the turmoil of the Church was the fault of the Roman Curia itself was read at the 1522–1523 Diet of Nuremberg. His efforts at reform, however, proved fruitless, as they were resisted by most of his Renaissance ecclesiastical contemporaries, and he did not live long enough to see his efforts through to their conclusion."
4,219,"26 November 1523 –25 September 1534(10 years, 303 days)",,Clement VIICLEMENS Septimus,Giulio di Giuliano de' Medici,"26 May 1478 Florence, Republic of Florence",45 / 56,"Motto: Candor illæsus (""Unharmed candor"")[26] Italian. Cousin of Leo X. Rome sacked by imperial troops (1527). Forbade the divorce of Henry VIII; crowned Charles V as emperor at Bologna (1530). Commissioned Michelangelo's painting of The Last Judgment in the Sistine Chapel (1533). Approved Copernicus’ heliocentric universe theory (1533). His niece was married to the future Henry II of France (1533). Recognized the Order of Friars Minor Capuchin (Capuchins)."
5,220,"13 October 1534 –10 November 1549(15 years, 28 days)",,Paul IIIPAVLVS Tertius,Alessandro Farnese,"29 February 1468 Canino, Lazio, Papal States",66 / 81,Italian. Opened the Council of Trent (1545). His illegitimate son became the first duke of Parma. Decreed the second and final excommunication of King Henry VIII of England. Appointed Michelangelo to supervise construction of St. Peter's Basilica (1546). Recognized the Order of the Society of Jesus (Jesuits).
6,221,"7 February 1550 –29 March 1555(5 years, 50 days)",,Julius IIIIVLIVS Tertius,Giovanni Maria Ciocchi del Monte,"10 September 1487 Rome, Lazio, Papal States",62 / 67,Italian. Established the Collegium Germanicum (1552). Reconvened the Council of Trent. The Innocenzo Scandal.
7,222,9 April 1555 –1 May 1555(22 days),,Marcellus IIMARCELLVS Secundus,Marcello Cervini degli Spannochi,"6 May 1501 Montefano, Marche, Papal States",53 / 53,Italian. The last to use his birth name as the regnal name. Instituted immediate economies in Vatican expenditures. The Missa Papae Marcelli composed in his honour.
8,223,"23 May 1555 –18 August 1559(4 years, 87 days)",,Paul IVPAVLVS Quartus,"Giovanni Pietro Carafa, C.R.","28 June 1476 Capriglia Irpina, Campania, Kingdom of Naples",78 / 83,"Motto: Dominus mihi adjutor (""The Lord is my helper"")[27] Italian. Member of the Theatines. Established the Roman Ghetto in Cum Nimis Absurdum (1555) and established the Index of Forbidden Books. Ordered Michelangelo to repaint the nudes of The Last Judgment modestly."
9,224,"26 December 1559 –9 December 1565(5 years, 348 days)",,Pius IVPIVS Quartus,Giovanni Angelo Medici,"31 March 1499 Milan, Duchy of Milan",60 / 66,Italian. Reopened and closed the Council of Trent. Ordered public construction to improve the water supply of Rome. Instituted the Tridentine Creed.
