,Pontiffnumber,Pontificate,Name: English· Latin,Date and Place of birth,Age at start/end of papacy,Notes
0,30,27 May 308 –16 January 309(234 days),St Marcellus IMARCELLVS,"c. 255 AD Rome, Italy, Roman Empire[birth 4]",53 / 54,Roman. Feast day 16 January. Banished from Rome under Maxentius (309).
1,31,"18 April 309 –17 August 310(1 year, 121 days)",St EusebiusEVSEBIVS,"c. 255 AD Sardinia, Roman Empire",54 / 54 (†55),"Greek. Feast day 17 August. Banished by the emperor Maxentius, and died in exile."
2,32,"2 July 311 –10 January 314(2 years, 192 days)",St Miltiades(Melchiades)MILTIADES,"c. 270 AD Africa, Roman Empire",41 / 44,Roman Berber. Feast day 10 January. First pope after the end of the persecution of Christians through the Edict of Milan (313 AD) issued by Constantine the Great. Presided over the Lateran council of 313.
3,33,"31 January 314 –31 December 335(21 years, 334 days)",St Sylvester ISILVESTER,"c. 285 AD Fanum Sancti Angeli de Scala, Apulia et Calabria, Roman Empire",29 / 50,"Roman. Feast day 31 December. Also revered as a saint in Eastern Christianity, with a feast day of 2 January. Pope during the First Council of Nicaea (325), the first ecumenical council. Under him was built: the Archbasilica of Saint John Lateran, Santa Croce in Gerusalemme and Old St. Peter's Basilica. Stated to be the recipient of the Donation of Constantine, which was later shown to be a forgery."
4,34,18 January 336 –7 October 336(263 days),St MarkMARCVS,"c. 290 AD Rome, Italy, Roman Empire",46 / 46,"Roman. One of Mark's undertakings was to compile stories of the lives of martyrs and bishops before his time. There is some reason to believe he founded two churches in the area of Rome. One of them is still known to this day as the Church of San Marco, although it is greatly changed since his time. The other church was at the Catacomb of Balbina, a cemetery. Emperor Constantine gave gifts of land and furnishing for both buildings. Feast day 7 October."
5,35,"6 February 337 –12 April 352(15 years, 66 days)",St Julius IIVLIVS,"c. 280 AD Rome, Italy, Roman Empire",57 / 72,"Roman. He was involved in the Arian controversy, supporting Athanasius of Alexandria."
6,36,"17 May 352 –24 September 366(14 years, 130 days)",LiberiusLIBERIVS,"c. 310 AD Rome, Italy, Roman Empire",42 / 56,"Roman. Banished by the Arian-leaning Emperor Constantius II and later yielding to him. Earliest pope not canonized by the Latin Church. Revered as a saint in Eastern Christianity, with a feast day of 27 August.[12]"
7,—,"355 –22 November 365(10 years, 0 days)",Felix IIFELIX Secundus,"c. 300 AD Rome, Italy, Roman Empire",55 / 65,Roman. In opposition to Pope Liberius. Installed by Arian-leaning Emperor Constantius II.
8,37,"1 October 366 –11 December 384(18 years, 71 days)",St Damasus IDAMASVS,"c. 305 AD Egitania, Lusitania or Rome, Italy, Roman Empire",60 / 78,"Roman. The first pope from modern-day Portugal. Patron of Jerome, commissioned the Vulgate translation of the Bible. Pope during the First Council of Constantinople (381), the second ecumenical council. Council of Rome (382). First pope to be the official head of the church after the Emperor Gratian abdicates the title of ""Pontifex Maximus""."
9,—,"1 October 366 –16 November 367(1 year, 46 days)",UrsinusVRSINVS,"Rome, Italy, Roman Empire",—,Roman. In opposition to Damasus I. Banished to Gallia by Emperor Valentinian II after a war between two sects and died after 384.
10,38,"17 December 384 –26 November 399(14 years, 344 days)",St SiriciusSIRICIVS,"c. 334 AD Rome, Italy, Roman Empire",50 / 65,"Roman. His famous letters—the earliest surviving texts of papal decretals—focus particularly on religious discipline and include decisions on baptism, consecration, ordination, penance, and continence. Siricius’ important decretal of 386 (written to Bishop Himerius of Tarragona), commanding celibacy for priests, was the first decree on this subject.[13]"
11,39,"27 November 399 –19 December 401(2 years, 22 days)",St Anastasius IANASTASIVS,"c. 340 AD Rome, Italy, Roman Empire",59 / 61,Roman. Instructed priests to stand and bow their heads as they read from the Gospels.
