,Pontiffnumber,Pontificate,Portrait,Name: English· Latin,Personal name,Date and Place of birth,Age at start/end of papacy,Notes
0,204,"17 October 1404 –6 November 1406(2 years, 20 days)",,Innocent VIIINNOCENTIVS Septimus,Cosimo Gentile Migliorati,"1336–39 Sulmona, Kingdom of Naples",65–68 / 67–71,Italian. Reigned during the Western Schism.
1,205,"30 November 1406 –4 July 1415(8 years, 216 days)",,Gregory XIIGREGORIVS Duodecimus,Angelo Correr,"14 May 1324 Venice, Republic of Venice",82 / 91 (†92),Italian. Reigned during the Western Schism.
2,—,30 June 1409 –3 May 1410(307 days),,Alexander VALEXANDER Quintus,"Pétros Philárgēs,O.F.M.","1339 Candia Lomellina, Lombardy, Duchy of Milan",70 / 71,Greek. Western Schism. In opposition to Gregory XII. Considered a legitimate pope until 1963 and is numbered as such to this day.
3,—,"25 May 1410 –30 May 1415(5 years, 5 days)",,John XXIIIIOANNES Vicesimus Tertius,Baldassarre Cossa,"1365 Procida, Naples",45 / 50 (†54),Italian. Western Schism. In opposition to Gregory XII. Convened Council of Constance. Abdicated. Became dean of the College of Cardinals in 1417. Was considered a legitimate pope until 1958.
4,—,"4 July 1415 –11 November 1417(2 years, 136 days)",,Interregnum,Interregnum,Interregnum,Interregnum,"Two-year period without a valid pope elected. The Council of Constance called on all three papal claimants to abdicate, but only Gregory XII (Roman) and John XXIII (Pisan) abdicated. The Council finally excommunicated Benedict XIII (Avignon) and elected a new pope."
5,206,"11 November 1417 –20 February 1431(13 years, 101 days)",,Martin VMARTINVS Quintus,"Oddone Colonna, O.F.S","Jan/Feb 1369 Genazzano, Papal States",48 / 62,Italian. His election effectively ended the Western Schism (1378–1417). Convened the Council of Basel (1431). Initiated the Hussite Wars.
6,—,"10[19] or 20[20] June 1423 –26 July 1429(6 years, 36 days)",,Clement VIIICLEMENS Octavus,Gil Sánchez Muñoz y Carbón,"1369 Teruel, Aragon",54 / 60 (†77),Spanish. Western Schism. In opposition to Martin V.
7,,1424 – 1429,,Antipope Benedict XIV,Bernard Garnier,France,,Two antipope claimants[21]
8,,1430 – 1437,,Antipope Benedict XIV,Jean Carrier,France,,Two antipope claimants[22]
9,207,"3 March 1431 –23 February 1447(15 years, 357 days)",,Eugene IVEVGENIVS Quartus,"Gabriele Condulmer, O.S.A.","1383 Venice, Republic of Venice",47 / 63,"Italian. Member of the Augustinian Order. Nephew of Gregory XII. Crowned Emperor Sigismund at Rome in 1433. Transferred the Council of Basel to Ferrara. It was later transferred again, to Florence, because of the Bubonic plague. Issued the bull ""Creator Omnium"", rescinding any recognition of Portugal's right to conquer those islands, still pagan. He excommunicated anyone who enslaved newly converted Christians, the penalty to stand until the captives were restored to their liberty and possessions"
10,—,"5 November 1439 –7 April 1449(9 years, 153 days)",,Felix VFELIX Quintus,Amadeus,"4 September 1383 Chambéry, France",56 / 65 (†67),French. In opposition to Eugene IV[23] and Nicholas V.[24] Also ruled as count of Savoy.
11,208,"6 March 1447 –24 March 1455(8 years, 18 days)",,Nicholas VNICOLAVS Quintus,Tommaso Parentucelli,"13 November 1397 Sarzana, Republic of Genoa",49 / 57,Italian. Held the Jubilee of 1450. Crowned Emperor Frederick III at Rome (1452). Issued the bull Dum Diversas allowing Portugal's right to conquer and subjugate Saracens and pagans (1452). Created a library in the Vatican which would eventually become the Bibliotheca Apostolica Vaticana.
12,209,"8 April 1455 –6 August 1458(3 years, 120 days)",,Callixtus IIICALLISTVS Tertius,Alfonso de Borja,"31 December 1378 Xàtiva, Kingdom of Valencia, Crown of Aragon",76 / 79,"The first Spanish (Valencian) pope. Ordered the Feast of the Transfiguration to be celebrated on 6 August. Ordered the retrial of Joan of Arc, in which she was vindicated. Initiated the custom that bells be rung at midday to remind the faithful to pray for the crusaders. The tradition of the Angelus noon bell still exists in most Catholic Churches to this day. Appointed two nephews as cardinals, one of whom became Pope Alexander VI."
13,210,"19 August 1458 –15 August 1464(5 years, 362 days)",,Pius IIPIVS Secundus,Enea Silvio Piccolomini,"18 October 1405 Corsignano, Republic of Siena",52 / 58,Italian. Displayed a great interest in urban planning. Founded Pienza near Siena as the ideal city in 1462. Known for his work on the Commentaries.
