,Pontiffnumber,Pontificate,Name: English· Latin,Date and Place of birth,Age at start/end of papacy,Notes
0,40,"21 December 401 –12 March 417(15 years, 81 days)",St Innocent IINNOCENTIVS,"c. 378 AD Albanum, Latium et Campania, Roman Empire",41 / 57,Roman. Visigoth Sack of Rome (410) under Alaric I.
1,41,"18 March 417 –26 December 418(1 year, 283 days)",St ZosimusZOSIMVS,"c. 370 AD Messurga, Lucania et Bruttii, Roman Empire",47 / 48,Greek.
2,—,27 December 418 –3 April 419(97 days),EulaliusEVLALIVS,"c. 350–80 AD Rome, Italy, Roman Empire",68–38 / 69–39 (†72–42),"Roman. In opposition to Pope Boniface I. Elected on the eve of the election of Boniface, first benefited from the support of the emperor Honorius, but lost it quickly. Exiled in Campania, and died in 423."
3,42,"28 December 418 –4 September 422(3 years, 250 days)",St Boniface IBONIFACIVS,"c. 377 AD Rome, Italy, Roman Empire",43 / 47,Roman.
4,43,"10 September 422 –27 July 432(9 years, 321 days)",St Celestine ICAELESTINVS,"c. 380 AD Campania, Roman Empire",42 / 52,"Roman. Also revered as a saint in Eastern Christianity, with a feast day of 8 April. Pope during the Council of Ephesus (431), the third ecumenical council recognized by the Catholic, Eastern Orthodox, and Oriental Orthodox churches."
5,44,"31 July 432 –18 August 440(8 years, 18 days)",St Sixtus IIISYXTVS Tertius,"c. 390 AD Rome, Italy, Roman Empire",42 / 50,Roman.
6,45,"29 September 440 –10 November 461(21 years, 42 days)",St Leo I(Leo the Great)LEO MAGNVS,"c. 390 AD Etruria, Italia, Roman Empire",50 / 71,"Roman. Convinced Attila the Hun to turn back his invasion of Italy. Wrote the Tome which was instrumental in the Council of Chalcedon (451) and in defining the hypostatic union. Feast day 10 November. Also revered as a saint in Eastern Christianity, with a feast day of 18 February."
7,46,"19 November 461 –29 February 468(6 years, 102 days)",St HilaryHILARIVS,"c. 400 AD Sardinia, Italy, Western Roman Empire",46 / 53,Roman.
8,47,"3 March 468 –10 March 483(15 years, 7 days)",St SimpliciusSIMPLICIVS,"c. 430 AD Tibur, Italy, Western Roman Empire",38 / 53,Roman. Papacy during the collapse of the Western Roman Empire and subsequent overtaking of Rome and Italy in general by Odoacer.
9,48,"13 March 483 –1 March 492(8 years, 354 days)",St Felix IIIFELIX Tertius,"c. 440 AD Rome, Italy, Western Roman Empire",43 / 52,Imperial Roman pope. Sometimes called Felix II. Great-great-grandfather of pope Gregory I.
10,49,"1 March 492 –21 November 496(4 years, 265 days)",St Gelasius IGELASIVS,"c. 410 AD Mons Ferratus, Quinquegentiani, Africa, Western Roman Empire",82 / 86,"Roman Berber; the last pope to have been born on the continent of Africa. The first pope called the ""Vicar of Christ"".[14]"
11,50,"24 November 496 –19 November 498(1 year, 360 days)",Anastasius IIANASTASIVS Secundus,"c. 445 AD Rome, Italy, Western Roman Empire",51 / 53,Greek. Tried to end the Acacian schism but it resulted in the Laurentian schism. Earliest pope not canonized by either the Latin Church or the Eastern Church.
12,51,"22 November 498 –19 July 514(15 years, 239 days)",St SymmachusSYMMACHVS,"c. 460 AD Sardinia, Italy, Western Roman Empire",38 / 54,Roman.
13,—,"22 November 498 –Aug 506/8(7 years, 252 days)",LaurenceLAVRENTIVS,"c. 460 AD Rome, Italy, Western Roman Empire",38 / 46 (†48),"Roman. In opposition to Symmachus. Elected on the same day as Symachus, King Theodoric settled in favor of his adversary. Took control of Rome in 501 and remained pope in fact until he died in 506/08."
